Angle, Kendall-Tau, Z-Score
45.0, 0.500325593726, 22.2442263987
44.0, 0.500325593726, 22.2442263987
43.0, 0.500325593726, 22.2442263987
42.0, 0.502425276657, 22.3121363866
41.0, 0.503780490022, 22.3467812648
40.0, 0.502699635016, 22.2860836778
39.0, 0.50233529028, 22.2571803659
38.0, 0.506441985351, 22.4005277755
37.0, 0.505089934941, 22.3150170245
36.0, 0.507893577541, 22.3741254337
35.0, 0.512734073314, 22.5349266065
34.0, 0.511654980101, 22.4612913047
33.0, 0.515564868455, 22.5667752409
32.0, 0.520145787497, 22.6869330681
31.0, 0.527307461475, 22.9175508082
30.0, 0.530401398161, 22.9557117234
29.0, 0.536496890087, 23.1496923549
28.0, 0.535909353655, 23.0263282147
27.0, 0.537140629392, 22.938163472
26.0, 0.544093198603, 23.1057066472
25.0, 0.55098458565, 23.2519391599
24.0, 0.555945695154, 23.3424374006
23.0, 0.562944069351, 23.4545788935
22.0, 0.575910131059, 23.7603994514
21.0, 0.585042583201, 23.9288943993
20.0, 0.594551895647, 24.1043080475
19.0, 0.60188533457, 24.1666686927
18.0, 0.619889953128, 24.5573689284
17.0, 0.620267213045, 24.2888565328
16.0, 0.624830147658, 24.1058506865
15.0, 0.633354067316, 23.9119956219
14.0, 0.651747439552, 24.1951687091
13.0, 0.666191519197, 24.1595099838
12.0, 0.677692132566, 23.8727604961
11.0, 0.696461118426, 23.7197188704
10.0, 0.71287681589, 23.4157577972
9.0, 0.720436011632, 22.6813702941
8.0, 0.736594654317, 22.3592865394
7.0, 0.770472487334, 22.0956141643
6.0, 0.787201318319, 21.369783362
5.0, 0.829486527707, 20.7279446267
4.0, 0.864920634921, 19.3104362508
3.0, 0.879905992949, 17.7836816101
2.0, 0.916117216117, 13.8499877987
1.0, 0.951374207188, 9.10283606889
