pscore,hindex
1,56
2,281
3,298
4,157
5,153
6,139
7,20
8,21
9,64
10,429
11,57
12,6
13,78
14,42
15,55
16,692
17,23
18,88
19,27
20,104
21,19
22,37
23,33
24,152
25,43
26,92
27,111
28,225
29,113
30,242
31,461
32,18
33,155
34,31
35,15
36,109
37,186
38,293
39,66
40,28
41,250
42,134
43,119
44,26
45,67
46,32
47,147
48,181
49,144
50,432
51,357
52,17
53,207
54,47
55,13
56,566
57,125
58,237
59,108
60,54
61,174
62,130
63,82
64,51
65,91
66,117
67,9
68,102
69,1
70,62
71,81
72,213
73,45
74,370
75,224
76,41
77,212
78,217
79,244
80,36
81,314
82,191
83,35
84,72
85,219
86,387
87,205
88,24
89,61
90,300
91,211
92,49
93,40
94,161
95,515
96,103
97,77
98,48
99,74
100,116
101,105
102,22
103,355
104,53
105,419
106,230
107,196
108,618
109,3
110,71
111,90
112,133
113,195
114,321
115,209
116,193
117,303
118,263
119,491
120,184
121,340
122,84
123,8
124,611
125,220
126,10
127,343
128,379
129,260
130,99
131,283
132,29
133,65
134,462
135,167
136,4
137,2
138,318
139,59
140,183
141,228
142,75
143,444
144,34
145,483
146,417
147,154
148,127
149,46
150,76
151,274
152,97
153,257
154,128
155,121
156,475
157,630
158,63
159,423
160,267
161,437
162,201
163,114
164,197
165,363
166,164
167,206
168,185
169,407
170,541
171,68
172,141
173,143
174,696
175,163
176,396
177,83
178,79
179,753
180,509
181,722
182,38
183,322
184,715
185,575
186,469
187,100
188,609
189,101
190,358
191,162
192,408
193,310
194,179
195,146
196,448
197,204
198,585
199,120
200,215
201,719
202,637
203,106
204,588
205,643
206,44
207,631
208,390
209,11
210,270
211,438
212,425
213,214
214,132
215,312
216,415
217,735
218,593
219,235
220,50
221,344
222,336
223,5
224,556
225,14
226,165
227,198
228,87
229,73
230,200
231,718
232,376
233,276
234,282
235,467
236,703
237,95
238,383
239,239
240,549
241,565
242,682
243,527
244,142
245,96
246,324
247,233
248,592
249,30
250,286
251,138
252,323
253,317
254,545
255,459
256,148
257,166
258,299
259,440
260,451
261,351
262,172
263,287
264,264
265,316
266,245
267,145
268,346
269,430
270,433
271,178
272,463
273,70
274,553
275,80
276,320
277,345
278,389
279,325
280,279
281,708
282,227
283,12
284,319
285,474
286,203
287,550
288,210
289,122
290,742
291,533
292,180
293,729
294,285
295,238
296,359
297,89
298,495
299,265
300,289
301,546
302,571
303,173
304,182
305,364
306,208
307,754
308,253
309,169
310,240
311,380
312,476
313,328
314,617
315,58
316,503
317,150
318,727
319,330
320,485
321,126
322,426
323,226
324,377
325,627
326,621
327,570
328,595
329,441
330,347
331,308
332,234
333,456
334,118
335,25
336,194
337,305
338,136
339,610
340,587
341,393
342,280
343,413
344,514
345,176
346,290
347,414
348,123
349,159
350,458
351,655
352,295
353,688
354,723
355,160
356,313
357,484
358,187
359,361
360,734
361,382
362,311
363,401
364,391
365,288
366,494
367,480
368,710
369,505
370,490
371,394
372,450
373,648
374,765
375,189
376,137
377,638
378,721
379,326
380,530
381,131
382,529
383,497
384,258
385,399
386,292
387,168
388,552
389,686
390,624
391,306
392,460
393,202
394,261
395,254
396,107
397,342
398,327
399,695
400,381
401,171
402,334
403,422
404,712
405,331
406,374
407,574
408,427
409,520
410,256
411,598
412,411
413,489
414,726
415,110
416,524
417,672
418,304
419,481
420,646
421,262
422,744
423,758
424,315
425,446
426,479
427,728
428,385
429,466
430,559
431,487
432,333
433,247
434,562
435,248
436,636
437,555
438,170
439,583
440,626
441,112
442,371
443,482
444,177
445,392
446,492
447,435
448,335
449,720
450,378
451,447
452,535
453,402
454,745
455,246
456,468
457,679
458,431
459,69
460,660
461,86
462,449
463,614
464,512
465,714
466,673
467,365
468,725
469,656
470,472
471,397
472,599
473,563
474,532
475,251
476,421
477,531
478,540
479,678
480,199
481,700
482,536
483,619
484,504
485,149
486,586
487,350
488,477
489,404
490,277
491,557
492,420
493,284
494,661
495,500
496,620
497,406
498,309
499,534
500,339
501,352
502,771
503,685
504,543
505,671
506,341
507,395
508,704
509,628
510,216
511,457
512,741
513,271
514,434
515,236
516,348
517,409
518,759
519,739
520,582
521,452
522,266
523,623
524,790
525,424
526,613
527,689
528,115
529,416
530,332
531,711
532,93
533,338
534,589
535,294
536,222
537,354
538,740
539,498
540,581
541,778
542,681
543,473
544,522
545,301
546,730
547,412
548,455
549,241
550,554
551,384
552,683
553,675
554,471
555,39
556,668
557,547
558,650
559,360
560,670
561,732
562,634
563,272
564,560
565,259
566,579
567,439
568,693
569,640
570,190
571,506
572,755
573,523
574,405
575,85
576,542
577,594
578,410
579,760
580,775
581,269
582,601
583,372
584,464
585,669
586,716
587,697
588,493
589,278
590,521
591,443
592,676
593,707
594,124
595,569
596,558
597,665
598,129
599,680
600,528
601,602
602,584
603,513
604,597
605,766
606,488
607,717
608,368
609,702
610,175
611,659
612,572
613,625
614,539
615,537
616,713
617,605
618,291
619,782
620,779
621,7
622,307
623,388
624,94
625,776
626,428
627,747
628,255
629,644
630,367
631,657
632,188
633,375
634,98
635,777
636,629
637,658
638,641
639,606
640,501
641,633
642,561
643,663
644,651
645,252
646,757
647,578
648,538
649,737
650,674
651,356
652,231
653,403
654,666
655,156
656,677
657,662
658,517
659,548
660,632
661,400
662,453
663,767
664,470
665,302
666,502
667,691
668,223
669,616
670,568
671,418
672,386
673,507
674,749
675,694
676,612
677,158
678,750
679,516
680,792
681,654
682,273
683,724
684,608
685,705
686,761
687,772
688,454
689,496
690,604
691,781
692,353
693,151
694,699
695,780
696,297
697,442
698,596
699,603
700,518
701,615
702,296
703,751
704,52
705,733
706,486
707,690
708,635
709,639
710,698
711,510
712,770
713,756
714,652
715,544
716,337
717,218
718,774
719,791
720,398
721,642
722,567
723,60
724,591
725,768
726,511
727,701
728,731
729,784
730,649
731,366
732,508
733,667
734,762
735,192
736,551
737,329
738,764
739,743
740,526
741,576
742,369
743,580
744,653
745,773
746,788
747,249
748,590
749,763
750,687
751,786
752,600
753,243
754,232
755,684
756,349
757,478
758,436
759,519
760,607
761,140
762,362
763,275
764,664
765,748
766,16
767,373
768,229
769,268
770,465
771,445
772,738
773,794
774,564
775,135
776,499
777,787
778,221
779,647
780,769
781,622
782,789
783,573
784,793
785,736
786,709
787,577
788,525
789,785
790,783
791,645
792,752
793,746
794,706
